Country,Zone
CANADA ,A
AUSTRALIA ,B
CAMBODIA ,B
EAST TIMOR ,B
HONG KONG ,B
INDONESIA ,B
JAPAN ,B
LAOS ,B
MACAU ,B
MALAYSIA ,B
MEXICO ,B
NEW ZEALAND ,B
PHILIPPINES ,B
SINGAPORE ,B
SOUTH KOREA ,B
TAIWAN ,B
THAILAND ,B
VIETNAM ,B
ALGERIA ,C
BAHRAIN ,C
BANGLADESH ,C
BHUTAN ,C
BRUNEI ,C
EGYPT ,C
INDIA ,C
ISRAEL ,C
JORDAN ,C
KUWAIT ,C
LEBANON ,C
LIBYA ,C
MOROCCO ,C
MYANMAR ,C
NEPAL ,C
OMAN ,C
PAKISTAN ,C
PALESTINE AUTHORITY ,C
QATAR ,C
SAUDI ARABIA ,C
SRI LANKA ,C
SYRIA ,C
TUNISIA ,C
U.A.E. ,C
YEMEN ,C
ANGUILLA ,D
ANTIGUA ,D
ARGENTINA ,D
ARUBA ,D
BAHAMAS ,D
BARBADOS ,D
BELIZE ,D
BERMUDA ,D
BOLIVIA ,D
BONAIRE ,D
BRAZIL ,D
BRITISH VIRGIN IS. ,D
CAYMAN ISLANDS ,D
CHILE ,D
COLOMBIA ,D
COSTA RICA ,D
CURACAO ,D
DOMINICA ,D
DOMINICAN REPUBLIC ,D
ECUADOR ,D
EL SALVADOR ,D
FRENCH GUIANA ,D
GRENADA ,D
GUADELOUPE ,D
GUATEMALA ,D
GUYANA ,D
HAITI ,D
HONDURAS ,D
JAMAICA ,D
MARTINIQUE ,D
MONTSERRAT ,D
NICARAGUA ,D
NL. ANTILLES ,D
PANAMA ,D
PARAGUAY ,D
PERU ,D
SOUTH AFRICA ,D
ST KITTS & NEVIS ,D
ST MAARTEN ,D
ST MARTIN ,D
ST. LUCIA ,D
ST. VINCENT ,D
SURINAME ,D
TRINIDAD & TOBAG ,D
TURKS & CAICOS I ,D
U.S.A ,_
PUERTO RICO ,D
URUGUAY ,D
VENEZUELA ,D
VIRGIN ISLANDS ,D
AFGHANISTAN ,E
AMERICAN SAMOA ,E
ANGOLA ,E
ARMENIA ,E
AZERBAIJAN ,E
BENIN ,E
BOTSWANA ,E
BURKINA FASO ,E
BURUNDI ,E
CAMEROON ,E
CAPE VERDE ,E
CENT AFR REP ,E
CHAD ,E
CONGO ,E
COOK ISLANDS ,E
DEMOCRATIC REPUBLIC OF C ,E
DJIBOUTI ,E
EQUATORIAL GUINEA ,E
ERITREA ,E
ETHIOPIA ,E
FIJI ,E
FRENCH POLYNESIA ,E
GABON ,E
GAMBIA ,E
GEORGIA ,E
GHANA ,E
GUAM ,E
GUINEA ,E
GUINEA BISSAU ,E
IRAQ REPUBLIC ,E
IVORY COAST ,E
KAZAKHSTAN ,E
KENYA ,E
KIRIBATI ,E
KYRGYZSTAN ,E
LESOTHO ,E
LIBERIA ,E
MADAGASCAR ,E
MALAWI ,E
MALDIVES ,E
MALI ,E
MARSHALL ISLANDS ,E
MAURITANIA ,E
MAURITIUS ,E
MICRONESIA ,E
MONGOLIA ,E
MOZAMBIQUE ,E
NAMIBIA ,E
NAURU ,E
NEW CALEDONIA ,E
NIGER ,E
NIGERIA ,E
NIUE ,E
PALAU ,E
PAPUA NEW GUINEA ,E
REUNION ISLAND ,E
RWANDA ,E
SAIPAN ,E
SAMOA ,E
SENEGAL ,E
SEYCHELLES ,E
SIERRA LEONE ,E
SOLOMON ISLANDS ,E
SOMALIA ,E
SUDAN ,E
SWAZILAND ,E
TANZANIA ,E
TOGO ,E
TONGA ,E
TURKMENISTAN ,E
TUVALU ,E
UGANDA ,E
UZBEKISTAN ,E
VANUATU ,E
WALLIS & FUTUNA ,E
ZAIRE ,E
ZAMBIA ,E
ZIMBABWE ,E
CHINA ,F
U.S.A. ,H
BELGIUM ,R
FRANCE ,R
GERMANY ,R
LUXEMBOURG ,R
MONACO ,R
NETHERLANDS ,R
ANDORRA ,S
AUSTRIA ,S
DENMARK ,S
FAROE ISLANDS ,S
FINLAND ,S
GREECE ,S
GREENLAND ,S
ITALY ,S
PORTUGAL ,S
SPAIN ,S
SWEDEN ,S
VATICAN CITY ,S
BULGARIA ,T
CYPRUS ,T
CZECH REPUBLIC ,T
ESTONIA ,T
HUNGARY ,T
LATVIA ,T
LITHUANIA ,T
MALTA ,T
POLAND ,T
ROMANIA ,T
SLOVAK REPUBLIC ,T
SLOVENIA ,T
GIBRALTAR ,U
ICELAND ,U
LIECHTENSTEIN ,U
NORWAY ,U
SWITZERLAND ,U
ALBANIA ,V
BELARUS ,V
BOSNIA ,V
CROATIA ,V
MACEDONIA ,V
MOLDOVA ,V
MONTENEGRO ,V
RUSSIA ,V
SERBIA ,V
TURKEY ,V
UKRAINE ,V
IRELAND ,W
